source_id,source_name,source_type,source_file,source_url,uploaded_or_public,geography,year,publisher,access_date,normalized_table,row_count,key_fields,product_surfaces_supported,missingness_notes,caveats,license_or_use_note
civhc_coc_fy23_total,CO Cost of Care - Total Spending,cost_spending,FY23_Public Data_Cost of Care.xlsx,https://www.civhc.org,public,Colorado,2017-2021,CIVHC (CO APCD),2026-05-24,cost_of_care_total.csv,1843,year;payer_type;category;doi_region;claim_type;total_spend;member_months;pppy,Cost Structure;Payer Stress;Colorado Market Intel,none observed,All-payer aggregate; not provider-level; PPPY = spend/member-months,CIVHC public-use file (redistributable)
civhc_coc_fy23_outpatient,CO Cost of Care - Outpatient Detail,cost_spending,FY23_Public Data_Cost of Care.xlsx,https://www.civhc.org,public,Colorado,2017-2021,CIVHC (CO APCD),2026-05-24,cost_of_care_outpatient.csv,4265,outpatient_category;year;payer_type;doi_region;total_spend;member_months;pppy,Cost Structure;Colorado Market Intel,none observed,Outpatient categories only; all-payer aggregate,CIVHC public-use file (redistributable)
civhc_apm_fy26,CO Alternative Payment Models (APM),apm_valuebased,FY26_APM_Public Excel File.xlsx,https://www.civhc.org,public,Colorado,2022-2024,CIVHC (CO APCD),2026-05-24,apm_public.csv,144,payer_type;year;metric;pct_apm;pct_ffs;apm_spend;ffs_spend;total_spend;LAN categories,CMS APM Tracker;Payer Stress;Colorado Market Intel,~17% on some %/LAN fields where denominator excluded,Market-level (not provider); LAN categories per HCP-LAN framework,CIVHC public-use file (redistributable)
civhc_rbp_fy26,CO Medicare Reference-Based Pricing,reference_pricing,FY26_Medicare Reference Based Pricing_Public Excel File.xlsx,https://www.civhc.org,public,Colorado,2021-2024,CIVHC (CO APCD),2026-05-24,reference_based_pricing.csv,1349,organization_name;claim_type;year;county;doi_region;hospital_pct_medicare;claims;urf_pct_medicare;payer_min;payer_median;payer_max,Reference Based Pricing;Cost Structure;Payer Stress;HCRIS X-Ray context,~1% on URF/payer fields,Provider-level (resolvable to CCN by name); % of Medicare = commercial/Medicare ratio,CIVHC public-use file (redistributable)
openfda_drug_shortages,FDA Drug Shortages (openFDA),drug_shortage,fda_drug_shortages.csv,https://api.fda.gov/drug/shortages.json,public,US (national),2017-2026,FDA / openFDA,2026-05-25,fda_drug_shortages.csv,1679,generic_name;company_name;therapeutic_category;dosage_form;status;availability,Drug Shortage / Supply Chain,availability ~31% blank,Product-level not provider-specific; build-time snapshot (no runtime API),openFDA public domain (CC0)
cms_mssp_aco_py2026,CMS MSSP ACO Participants (PY2026),aco_participation,mssp_aco_participants.csv,https://data.cms.gov,public,US (national),2026,CMS,2026-05-25,mssp_aco_participants.csv,15370,aco_id;aco_name;participant_org;service_area;enhanced_track;high_revenue_aco,CMS APM Tracker,none material,Participation directory (not savings/performance); exec/contact PII dropped on ingest,CMS public-use file
hrsa_hpsa_pc,HRSA Primary-Care HPSA (state index),workforce_shortage,hrsa_hpsa_pc_by_state.csv,https://data.hrsa.gov,public,US (by state),2026,HRSA,2026-05-25,hrsa_hpsa_pc_by_state.csv,60,state;designated_pc_hpsas;median_hpsa_score;population_in_shortage,Physician Productivity (context);Provider Retention (context),none material,State-aggregated from 78k designated rows; market/access context not provider-specific,HRSA Data Warehouse (public)
cms_mips_py2023,CMS Clinician MIPS Performance (PY2023 distribution),physician_quality,mips/mips_score_summary.csv,https://data.cms.gov/provider-data,public,US (national),2023,CMS,2026-05-25,mips_score_summary.csv;mips_score_bands.csv;mips_category_scores.csv,6,scope;n;mean;median;p10;p25;p75;p90,Physician Productivity (benchmark);Quality Scorecard (benchmark);Clinical Outcomes (benchmark),scores missing at ingest excluded (never 0),Aggregated from 541k per-clinician rows; PII (NPI/names) dropped at ingest; final-score distribution not a payment figure,CMS public-use file (redistributable)
industry_intel,IBISWorld Industry Reports (derived intelligence),industry_intel,data/industry_intel/industry_reports.json,licensed (IBISWorld),licensed-internal,US (national),2025-2026,IBISWorld,2026-05-25,industry_reports.json;industry_metrics.csv;industry_segments.csv;industry_drivers.csv;industry_benchmarks.csv;industry_questions.csv,5,industry_id;naics_code;metric_name;segment_name;driver;benchmark_name,Industry pages;Research;Diligence context;Guide/RAG;industry briefs,narrative paraphrased (no verbatim);some segment names truncated on line-wrap,LICENSED_REPORT_DERIVED: raw PDFs private; derived structured facts only with attribution; industry-level not provider-specific; forecasts report-derived not PEdesk predictions,Licensed business use (no public raw-report replication)
cms_ma_geo_ry2025,CMS Medicare Advantage Geographic Variation (state),ma_market,ma_geo/ma_geo_state.csv,https://data.cms.gov,public,US (by state),2022,CMS,2026-05-25,ma_geo_state.csv,53,state;ma_enrollment;dual_eligible_pct;avg_age;ip_stays_per_1000;er_visits_per_1000,Risk Adjustment (population context);MA Contracts (market size),CMS-suppressed small cells dropped to NaN (never 0),State-level MA enrollment + risk-adjustment demographic drivers + utilization; NOT a Star Rating or risk score; not provider-specific,CMS public-use file (redistributable)
market_intel,SimplyAnalytics Market Intelligence (derived),market_intel,data/market_intel/market_values_state.csv,licensed (SimplyAnalytics),licensed-internal,US (state/county by FIPS),2025,SimplyAnalytics,2026-05-25,market_variables.csv;market_values_state.csv;market_values_county.csv,52,variable_id;geo_level;geo_name;fips;value;percentile_national,Market Intel pages;Target Screener;Diligence market context;provider profiles,only variables with underlying exports are real (screenshots = design refs; not data); income/insurance/supply pending export,LICENSED MARKET DATA DERIVED: derived from licensed SimplyAnalytics exports; market/area context not provider-specific; verify source/year; FIPS-keyed,Licensed business use (no raw screenshot/export republication)
